X,CH1,
Second,Volt,
3.61096e-01,2.00e-01,
3.61100e-01,2.00e-01,
3.61104e-01,2.00e-01,
3.61108e-01,2.00e-01,
3.61112e-01,2.00e-01,
3.61116e-01,2.00e-01,
3.61120e-01,2.00e-01,
3.61124e-01,2.00e-01,
3.61128e-01,2.00e-01,
3.61132e-01,2.00e-01,
3.61136e-01,2.00e-01,
3.61140e-01,2.00e-01,
3.61144e-01,2.00e-01,
3.61148e-01,2.00e-01,
3.61152e-01,2.00e-01,
3.61156e-01,2.00e-01,
3.61160e-01,2.00e-01,
3.61164e-01,2.00e-01,
3.61168e-01,2.00e-01,
3.61172e-01,2.00e-01,
3.61176e-01,2.00e-01,
3.61180e-01,2.00e-01,
3.61184e-01,2.00e-01,
3.61188e-01,2.00e-01,
3.61192e-01,2.00e-01,
3.61196e-01,2.00e-01,
