X,CH1,CH2,
Second,Volt,Volt,
1.48000e-03,1.20e-01,-1.60e-02,
1.49000e-03,1.60e-01,-8.00e-03,
1.50000e-03,1.00e-01,-8.00e-03,
1.51000e-03,1.60e-01,-8.00e-03,
1.52000e-03,1.20e-01,-8.00e-03,
1.53000e-03,1.80e-01,-1.60e-02,
1.54000e-03,1.60e-01,-8.00e-03,
1.55000e-03,1.20e-01,0.00e+00,
1.56000e-03,1.60e-01,-8.00e-03,
1.57000e-03,1.20e-01,0.00e+00,
1.58000e-03,1.40e-01,-8.00e-03,
1.59000e-03,1.80e-01,0.00e+00,
1.60000e-03,1.60e-01,-8.00e-03,
1.61000e-03,1.40e-01,-1.60e-02,
1.62000e-03,1.40e-01,-8.00e-03,
1.63000e-03,1.60e-01,-8.00e-03,
1.64000e-03,1.60e-01,-8.00e-03,
1.65000e-03,1.40e-01,-1.60e-02,
1.66000e-03,1.80e-01,-1.60e-02,
1.67000e-03,1.40e-01,-8.00e-03,
1.68000e-03,1.20e-01,-8.00e-03,
1.69000e-03,2.00e-01,-8.00e-03,
1.70000e-03,1.60e-01,-1.60e-02,
1.71000e-03,1.20e-01,0.00e+00,
1.72000e-03,1.60e-01,-1.60e-02,
1.73000e-03,2.00e-01,0.00e+00,
1.74000e-03,1.40e-01,0.00e+00,
1.75000e-03,1.80e-01,-8.00e-03,
1.76000e-03,1.60e-01,0.00e+00,
1.77000e-03,2.00e-01,-8.00e-03,
1.78000e-03,1.60e-01,-8.00e-03,
1.79000e-03,1.40e-01,-8.00e-03,
1.80000e-03,1.60e-01,-8.00e-03,
1.81000e-03,1.20e-01,0.00e+00,
1.82000e-03,1.20e-01,-8.00e-03,
1.83000e-03,1.60e-01,0.00e+00,
1.84000e-03,1.60e-01,-8.00e-03,
1.85000e-03,1.20e-01,-8.00e-03,
1.86000e-03,1.60e-01,-8.00e-03,
1.87000e-03,1.80e-01,-8.00e-03,
1.88000e-03,1.40e-01,-8.00e-03,
1.89000e-03,1.60e-01,0.00e+00,
1.90000e-03,1.60e-01,-8.00e-03,
1.91000e-03,1.40e-01,-1.60e-02,
1.92000e-03,1.60e-01,-1.60e-02,
1.93000e-03,2.00e-01,-8.00e-03,
1.94000e-03,1.60e-01,-8.00e-03,
1.95000e-03,1.40e-01,0.00e+00,
1.96000e-03,1.40e-01,-8.00e-03,
1.97000e-03,1.60e-01,-8.00e-03,
1.98000e-03,1.60e-01,-1.60e-02,
1.99000e-03,1.20e-01,-8.00e-03,
2.00000e-03,1.60e-01,-8.00e-03,
2.01000e-03,1.40e-01,-1.60e-02,
2.02000e-03,1.60e-01,-8.00e-03,
2.03000e-03,1.20e-01,-1.60e-02,
2.04000e-03,1.60e-01,-8.00e-03,
2.05000e-03,1.40e-01,-1.60e-02,
2.06000e-03,1.60e-01,-8.00e-03,
2.07000e-03,1.20e-01,-8.00e-03,
2.08000e-03,1.40e-01,-8.00e-03,
2.09000e-03,1.60e-01,-8.00e-03,
2.10000e-03,1.20e-01,-8.00e-03,
2.11000e-03,1.80e-01,-1.60e-02,
2.12000e-03,2.00e-01,-1.60e-02,
2.13000e-03,1.40e-01,-8.00e-03,
2.14000e-03,1.40e-01,-8.00e-03,
2.15000e-03,2.00e-01,0.00e+00,
2.16000e-03,2.00e-01,-8.00e-03,
2.17000e-03,1.40e-01,-8.00e-03,
2.18000e-03,1.40e-01,-8.00e-03,
2.19000e-03,2.00e-01,-8.00e-03,
2.20000e-03,1.60e-01,0.00e+00,
2.21000e-03,1.20e-01,-1.60e-02,
2.22000e-03,1.60e-01,-8.00e-03,
2.23000e-03,1.00e-01,-8.00e-03,
2.24000e-03,1.00e-01,-8.00e-03,
2.25000e-03,1.60e-01,-8.00e-03,
2.26000e-03,2.00e-01,-8.00e-03,
2.27000e-03,1.60e-01,-1.60e-02,
2.28000e-03,1.60e-01,-1.60e-02,
2.29000e-03,1.80e-01,-8.00e-03,
2.30000e-03,1.60e-01,-8.00e-03,
2.31000e-03,1.20e-01,0.00e+00,
2.32000e-03,1.40e-01,-8.00e-03,
2.33000e-03,1.80e-01,-1.60e-02,
2.34000e-03,1.60e-01,-8.00e-03,
2.35000e-03,1.40e-01,0.00e+00,
2.36000e-03,1.60e-01,0.00e+00,
2.37000e-03,1.40e-01,-8.00e-03,
2.38000e-03,1.80e-01,-1.60e-02,
2.39000e-03,1.40e-01,0.00e+00,
2.40000e-03,1.40e-01,-8.00e-03,
2.41000e-03,1.80e-01,-8.00e-03,
2.42000e-03,1.80e-01,-8.00e-03,
2.43000e-03,1.40e-01,-8.00e-03,
2.44000e-03,1.40e-01,-8.00e-03,
2.45000e-03,1.80e-01,0.00e+00,
2.46000e-03,1.60e-01,-8.00e-03,
2.47000e-03,2.20e-01,-2.40e-02,
2.48000e-03,2.00e-01,-1.60e-02,
2.49000e-03,1.60e-01,0.00e+00,
2.50000e-03,1.60e-01,-8.00e-03,
2.51000e-03,1.20e-01,-8.00e-03,
2.52000e-03,1.60e-01,-8.00e-03,
2.53000e-03,1.20e-01,-8.00e-03,
2.54000e-03,1.40e-01,-8.00e-03,
2.55000e-03,1.80e-01,-1.60e-02,
2.56000e-03,1.60e-01,-8.00e-03,
2.57000e-03,1.60e-01,-1.60e-02,
2.58000e-03,1.60e-01,-8.00e-03,
2.59000e-03,1.20e-01,-8.00e-03,
2.60000e-03,1.20e-01,-8.00e-03,
2.61000e-03,1.60e-01,0.00e+00,
2.62000e-03,1.20e-01,-8.00e-03,
2.63000e-03,1.80e-01,-1.60e-02,
2.64000e-03,1.80e-01,-8.00e-03,
2.65000e-03,1.60e-01,-8.00e-03,
2.66000e-03,1.60e-01,-8.00e-03,
2.67000e-03,1.20e-01,-8.00e-03,
2.68000e-03,1.60e-01,-8.00e-03,
2.69000e-03,1.40e-01,0.00e+00,
2.70000e-03,2.00e-01,0.00e+00,
2.71000e-03,1.20e-01,-8.00e-03,
2.72000e-03,1.20e-01,-8.00e-03,
2.73000e-03,1.80e-01,0.00e+00,
2.74000e-03,1.60e-01,-8.00e-03,
2.75000e-03,1.20e-01,-8.00e-03,
2.76000e-03,1.20e-01,-8.00e-03,
2.77000e-03,1.60e-01,-8.00e-03,
2.78000e-03,1.40e-01,-8.00e-03,
2.79000e-03,1.80e-01,-8.00e-03,
2.80000e-03,1.60e-01,-8.00e-03,
2.81000e-03,2.40e-01,-2.40e-02,
2.82000e-03,2.00e-01,-8.00e-03,
2.83000e-03,1.60e-01,-8.00e-03,
2.84000e-03,2.00e-01,0.00e+00,
2.85000e-03,1.80e-01,-1.60e-02,
2.86000e-03,2.00e-01,-1.60e-02,
2.87000e-03,1.60e-01,-8.00e-03,
2.88000e-03,1.80e-01,-8.00e-03,
2.89000e-03,1.40e-01,-1.60e-02,
2.90000e-03,1.60e-01,-8.00e-03,
2.91000e-03,1.20e-01,-8.00e-03,
2.92000e-03,1.60e-01,-8.00e-03,
2.93000e-03,1.80e-01,0.00e+00,
2.94000e-03,1.60e-01,0.00e+00,
2.95000e-03,2.00e-01,-8.00e-03,
2.96000e-03,1.40e-01,-8.00e-03,
2.97000e-03,2.00e-01,0.00e+00,
2.98000e-03,2.00e-01,-8.00e-03,
2.99000e-03,1.40e-01,-8.00e-03,
3.00000e-03,1.60e-01,0.00e+00,
3.01000e-03,1.20e-01,-8.00e-03,
3.02000e-03,1.40e-01,-1.60e-02,
3.03000e-03,2.00e-01,0.00e+00,
3.04000e-03,2.00e-01,-8.00e-03,
3.05000e-03,1.40e-01,0.00e+00,
3.06000e-03,2.00e-01,-8.00e-03,
3.07000e-03,1.60e-01,-8.00e-03,
3.08000e-03,1.20e-01,-8.00e-03,
3.09000e-03,2.00e-01,-1.60e-02,
3.10000e-03,1.60e-01,-8.00e-03,
3.11000e-03,1.40e-01,-8.00e-03,
3.12000e-03,1.60e-01,-8.00e-03,
3.13000e-03,1.40e-01,-8.00e-03,
3.14000e-03,1.60e-01,-8.00e-03,
3.15000e-03,1.20e-01,0.00e+00,
3.16000e-03,1.40e-01,-8.00e-03,
3.17000e-03,2.20e-01,0.00e+00,
3.18000e-03,2.00e-01,8.00e-03,
3.19000e-03,1.60e-01,-8.00e-03,
3.20000e-03,1.60e-01,-8.00e-03,
3.21000e-03,1.80e-01,-8.00e-03,
3.22000e-03,1.60e-01,-8.00e-03,
3.23000e-03,1.20e-01,-8.00e-03,
3.24000e-03,1.40e-01,-8.00e-03,
3.25000e-03,1.80e-01,-1.60e-02,
3.26000e-03,1.80e-01,-1.60e-02,
3.27000e-03,1.20e-01,0.00e+00,
3.28000e-03,1.20e-01,0.00e+00,
3.29000e-03,1.60e-01,-8.00e-03,
3.30000e-03,1.20e-01,-8.00e-03,
3.31000e-03,1.60e-01,-8.00e-03,
3.32000e-03,1.40e-01,0.00e+00,
3.33000e-03,1.00e-01,-1.60e-02,
3.34000e-03,2.00e-01,-1.60e-02,
3.35000e-03,1.60e-01,-2.40e-02,
3.36000e-03,1.40e-01,-1.60e-02,
3.37000e-03,2.00e-01,-8.00e-03,
3.38000e-03,1.80e-01,-1.60e-02,
3.39000e-03,1.40e-01,-8.00e-03,
3.40000e-03,1.60e-01,-8.00e-03,
3.41000e-03,1.20e-01,-8.00e-03,
3.42000e-03,1.60e-01,-1.60e-02,
3.43000e-03,2.00e-01,-8.00e-03,
3.44000e-03,1.60e-01,-1.60e-02,
3.45000e-03,1.20e-01,0.00e+00,
3.46000e-03,1.60e-01,-8.00e-03,
3.47000e-03,1.20e-01,0.00e+00,
3.48000e-03,1.60e-01,0.00e+00,
3.49000e-03,2.20e-01,-1.60e-02,
3.50000e-03,2.00e-01,-1.60e-02,
3.51000e-03,1.60e-01,-8.00e-03,
3.52000e-03,2.00e-01,-1.60e-02,
3.53000e-03,1.60e-01,-8.00e-03,
3.54000e-03,2.00e-01,-8.00e-03,
3.55000e-03,1.60e-01,-1.60e-02,
3.56000e-03,1.60e-01,-1.60e-02,
3.57000e-03,1.20e-01,-8.00e-03,
3.58000e-03,1.20e-01,-8.00e-03,
3.59000e-03,2.00e-01,0.00e+00,
3.60000e-03,1.40e-01,-8.00e-03,
3.61000e-03,1.80e-01,0.00e+00,
3.62000e-03,2.00e-01,-8.00e-03,
3.63000e-03,1.60e-01,0.00e+00,
3.64000e-03,1.60e-01,-8.00e-03,
3.65000e-03,1.20e-01,0.00e+00,
3.66000e-03,1.00e-01,-8.00e-03,
3.67000e-03,1.60e-01,-8.00e-03,
3.68000e-03,1.60e-01,-8.00e-03,
3.69000e-03,1.80e-01,0.00e+00,
3.70000e-03,2.00e-01,0.00e+00,
3.71000e-03,1.20e-01,-8.00e-03,
3.72000e-03,1.40e-01,-8.00e-03,
3.73000e-03,2.00e-01,0.00e+00,
3.74000e-03,1.20e-01,-8.00e-03,
3.75000e-03,1.60e-01,-8.00e-03,
3.76000e-03,1.40e-01,-8.00e-03,
3.77000e-03,1.80e-01,-1.60e-02,
3.78000e-03,2.00e-01,-1.60e-02,
3.79000e-03,1.60e-01,-8.00e-03,
3.80000e-03,1.60e-01,-8.00e-03,
3.81000e-03,1.20e-01,0.00e+00,
3.82000e-03,1.40e-01,0.00e+00,
3.83000e-03,2.00e-01,-1.60e-02,
3.84000e-03,1.60e-01,-8.00e-03,
3.85000e-03,2.00e-01,-1.60e-02,
3.86000e-03,2.00e-01,-8.00e-03,
3.87000e-03,1.60e-01,0.00e+00,
3.88000e-03,1.60e-01,-8.00e-03,
3.89000e-03,1.20e-01,-8.00e-03,
3.90000e-03,1.80e-01,-8.00e-03,
3.91000e-03,1.20e-01,-1.60e-02,
3.92000e-03,1.40e-01,-8.00e-03,
3.93000e-03,1.60e-01,-8.00e-03,
3.94000e-03,1.20e-01,-8.00e-03,
3.95000e-03,1.80e-01,0.00e+00,
3.96000e-03,1.20e-01,-8.00e-03,
3.97000e-03,1.60e-01,0.00e+00,
3.98000e-03,1.60e-01,-8.00e-03,
3.99000e-03,1.20e-01,0.00e+00,
4.00000e-03,1.60e-01,-1.60e-02,
4.01000e-03,1.40e-01,0.00e+00,
4.02000e-03,1.40e-01,-8.00e-03,
4.03000e-03,2.00e-01,0.00e+00,
4.04000e-03,1.60e-01,0.00e+00,
4.05000e-03,1.00e-01,-8.00e-03,
4.06000e-03,1.60e-01,-8.00e-03,
4.07000e-03,1.20e-01,-1.60e-02,
4.08000e-03,1.40e-01,-8.00e-03,
4.09000e-03,1.80e-01,-8.00e-03,
4.10000e-03,2.00e-01,-8.00e-03,
4.11000e-03,1.60e-01,0.00e+00,
4.12000e-03,2.00e-01,-8.00e-03,
4.13000e-03,1.20e-01,-1.60e-02,
4.14000e-03,1.20e-01,-8.00e-03,
4.15000e-03,1.60e-01,0.00e+00,
4.16000e-03,1.00e-01,-8.00e-03,
4.17000e-03,1.60e-01,-8.00e-03,
4.18000e-03,1.40e-01,-8.00e-03,
4.19000e-03,1.60e-01,-8.00e-03,
4.20000e-03,1.60e-01,0.00e+00,
4.21000e-03,1.40e-01,-8.00e-03,
4.22000e-03,2.00e-01,-8.00e-03,
4.23000e-03,1.40e-01,-1.60e-02,
4.24000e-03,1.20e-01,-8.00e-03,
4.25000e-03,1.80e-01,0.00e+00,
4.26000e-03,1.60e-01,-8.00e-03,
4.27000e-03,1.80e-01,0.00e+00,
4.28000e-03,1.60e-01,-1.60e-02,
4.29000e-03,1.40e-01,0.00e+00,
4.30000e-03,1.20e-01,0.00e+00,
4.31000e-03,1.60e-01,-1.60e-02,
4.32000e-03,1.60e-01,-1.60e-02,
4.33000e-03,2.00e-01,8.00e-03,
4.34000e-03,1.60e-01,8.00e-03,
4.35000e-03,1.60e-01,-8.00e-03,
4.36000e-03,1.60e-01,-8.00e-03,
4.37000e-03,2.00e-01,-1.60e-02,
4.38000e-03,1.60e-01,-8.00e-03,
4.39000e-03,2.00e-01,8.00e-03,
4.40000e-03,1.40e-01,-1.60e-02,
4.41000e-03,1.80e-01,-8.00e-03,
4.42000e-03,1.60e-01,-8.00e-03,
4.43000e-03,1.20e-01,-8.00e-03,
4.44000e-03,1.00e-01,-8.00e-03,
4.45000e-03,1.60e-01,8.00e-03,
4.46000e-03,1.60e-01,-8.00e-03,
4.47000e-03,2.40e-01,-1.60e-02,
4.48000e-03,2.00e-01,-2.40e-02,
4.49000e-03,1.60e-01,-8.00e-03,
4.50000e-03,1.40e-01,-8.00e-03,
4.51000e-03,1.80e-01,-1.60e-02,
4.52000e-03,1.20e-01,-1.60e-02,
4.53000e-03,1.80e-01,-8.00e-03,
4.54000e-03,1.60e-01,-1.60e-02,
4.55000e-03,1.20e-01,-8.00e-03,
4.56000e-03,1.80e-01,-8.00e-03,
4.57000e-03,1.40e-01,-8.00e-03,
4.58000e-03,1.60e-01,-8.00e-03,
4.59000e-03,1.20e-01,-8.00e-03,
4.60000e-03,1.20e-01,-8.00e-03,
4.61000e-03,2.00e-01,-1.60e-02,
4.62000e-03,1.20e-01,-8.00e-03,
4.63000e-03,1.60e-01,0.00e+00,
4.64000e-03,1.20e-01,-8.00e-03,
4.65000e-03,1.80e-01,-1.60e-02,
4.66000e-03,1.60e-01,-8.00e-03,
4.67000e-03,1.40e-01,-8.00e-03,
4.68000e-03,1.60e-01,-8.00e-03,
4.69000e-03,1.60e-01,-1.60e-02,
4.70000e-03,1.60e-01,-8.00e-03,
4.71000e-03,2.00e-01,-8.00e-03,
4.72000e-03,2.00e-01,-8.00e-03,
4.73000e-03,1.40e-01,0.00e+00,
4.74000e-03,1.60e-01,-8.00e-03,
4.75000e-03,2.20e-01,-2.40e-02,
4.76000e-03,2.00e-01,-1.60e-02,
4.77000e-03,1.20e-01,-8.00e-03,
